,SUT,A1-1,A1-2,A1-3,A1-4,A2-1,A3-1,A3-2,A4-1,B1-1,B1-2,Operations with Problem,B2-1,C1-1,C1-2,C1-3,C2-1,C2-2,D1-1,D1-2,In Host,D1-3,D3-1,D3-2,Paths,Operations,Body Operations,Parameters,Status Codes,Page Param
996,freetv-app_v1,1,1,1,1,0,1,True,0,1,0,0,1,0,0,0,0,0,0,1,False,0,0,0,1,1,0,2,"{""200"": 1}",{}
997,azure_monitor-guestDiagnosticSettingsAssociation_API_2018-06-01-preview,3,3,0,3,0,3,True,0,6,0,0,0,0,0,0,2,0,0,3,False,0,0,0,3,6,2,19,"{""200"": 6, ""201"": 1, ""204"": 1}",{}
998,apisetu_agtripura_3_0_0,2,2,2,2,0,2,False,0,2,0,0,2,0,0,0,2,0,0,2,True,0,0,0,2,2,2,2,"{""200"": 2, ""400"": 2, ""401"": 2, ""404"": 2, ""500"": 2, ""502"": 2, ""503"": 2, ""504"": 2}",{}
999,apisetu_newindia_3_0_0,7,7,7,7,0,7,False,0,7,0,0,7,0,0,0,7,0,0,7,True,0,0,0,7,7,7,7,"{""200"": 7, ""400"": 7, ""401"": 7, ""404"": 7, ""500"": 7, ""502"": 7, ""503"": 7, ""504"": 7}",{}
1000,victorops_0_0_3,49,49,41,49,22,48,False,2,72,0,1,49,0,0,0,25,0,0,0,False,0,0,0,49,72,25,272,"{""200"": 72, ""400"": 61, ""401"": 68, ""403"": 71, ""404"": 56, ""500"": 71, ""409"": 1}","{""offset"": 2, ""limit"": 2}"
1001,nfusionsolutions_1,17,17,0,17,4,17,False,0,17,0,0,17,0,0,0,0,0,0,0,False,0,0,0,17,17,0,55,"{""200"": 17, ""400"": 17, ""401"": 17}",{}
1002,adyen_StoredValueService_46,6,6,2,6,0,5,True,0,6,0,1,6,0,0,0,6,0,0,6,True,0,0,0,6,6,6,6,"{""200"": 6, ""400"": 6, ""401"": 6, ""403"": 6, ""500"": 6}",{}
1003,deutschebahn_fahrplan_v1,4,4,1,4,0,4,False,0,4,0,0,4,0,0,0,0,0,0,4,True,0,0,0,4,4,0,6,"{""200"": 4, ""400"": 2, ""500"": 4, ""503"": 4}",{}
1004,amadeus_amadeus-points-of-interest_1_1_1,3,3,2,3,0,3,False,0,3,0,0,0,0,0,0,0,0,0,3,True,0,0,0,3,3,0,14,"{""200"": 3, ""400"": 3, ""404"": 1}",{}
1005,apisetu_godigit_3_0_0,3,3,3,3,0,3,False,0,3,0,0,3,0,0,0,3,0,0,3,True,0,0,0,3,3,3,3,"{""200"": 3, ""400"": 3, ""401"": 3, ""404"": 3, ""500"": 3, ""502"": 3, ""503"": 3, ""504"": 3}",{}
1006,azure_blockchain_2018-06-01-preview,15,15,0,15,0,10,True,0,21,2,5,21,0,0,0,7,0,0,15,False,0,0,0,15,21,7,87,"{""200"": 19, ""204"": 3, ""201"": 2, ""202"": 2}",{}
1007,apisetu_icsi_3_0_0,2,2,2,2,0,2,False,0,2,0,0,2,0,0,0,2,0,0,2,True,0,0,0,2,2,2,2,"{""200"": 2, ""400"": 2, ""401"": 2, ""404"": 2, ""500"": 2, ""502"": 2, ""503"": 2, ""504"": 2}",{}
1008,quickchart_1_0_0,2,2,2,2,0,2,True,0,4,0,0,4,0,0,0,2,0,0,2,False,0,0,0,2,4,2,12,"{""200"": 4}",{}
1009,flat_2_13_0,51,51,50,51,42,51,False,4,81,0,0,0,0,0,0,23,0,0,51,True,0,0,0,51,81,23,322,"{""200"": 64, ""204"": 17, ""403"": 37, ""404"": 35, ""400"": 2}","{""limit"": 4}"
1010,azure_policyinsights-policyEvents_2017-08-09-preview,4,4,0,4,0,4,True,0,4,0,0,0,0,0,0,0,0,0,4,False,0,0,0,4,4,0,42,"{""200"": 4}",{}
1011,transavia_1_0,4,5,4,5,1,5,False,2,5,0,0,5,0,0,0,0,0,0,5,True,0,0,0,5,5,0,9,"{""200"": 5, ""400"": 5, ""500"": 5}","{""limit"": 2}"
1012,adyen_NotificationConfigurationService_1,6,6,0,6,0,1,True,0,6,1,5,0,0,0,0,6,0,0,6,True,0,0,0,6,6,6,6,"{""200"": 6, ""400"": 6, ""401"": 6, ""403"": 6, ""500"": 6}",{}
1013,apisetu_hpbose_3_0_0,2,2,2,2,0,2,False,0,2,0,0,2,0,0,0,2,0,0,2,True,0,0,0,2,2,2,2,"{""200"": 2, ""400"": 2, ""401"": 2, ""404"": 2, ""500"": 2, ""502"": 2, ""503"": 2, ""504"": 2}",{}
